timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
104197509,0.037041057,0.00036942482,0.15644716,4003,0,-2.2818208,0.16373593,-9.443581,4077,0
104201860,0.026253443,0.0022822807,0.16087934,4351,0,-2.2737803,0.23516667,-9.379763,4003,0
104205279,0.017576514,0.0063041,0.15759207,3419,0,-2.3409178,0.23501658,-9.347672,4351,0
104209397,0.015111855,0.0072078323,0.15911628,4118,0,-2.3342195,0.16355698,-9.41552,3419,0
104213446,0.017289197,0.003045591,0.16089071,4049,0,-2.270671,0.14599772,-9.474632,4118,0
104217372,0.018143708,0.0023246643,0.1604091,3926,0,-2.3097262,0.18461554,-9.5643635,4049,0
104221252,0.008002188,-0.0020409245,0.15529911,3880,0,-2.328577,0.16384983,-9.627998,3926,0
104225251,0.0027329766,-0.0033524677,0.15455498,3999,0,-2.3452222,0.16936861,-9.618417,3880,0
104229204,0.0065682633,9.1058784e-05,0.16387726,3953,0,-2.3635771,0.22331776,-9.652397,3999,0
104233336,0.009462824,-0.00584049,0.16081254,4132,0,-2.3363075,0.24087873,-9.545331,3953,0
104237206,0.008353338,-0.0020506175,0.15434207,3870,0,-2.3673725,0.2107927,-9.404145,4132,0
104241159,0.0043729264,0.0013318115,0.1544688,3953,0,-2.4096773,0.20527403,-9.438904,3870,0
104245183,0.003848973,-0.005058159,0.15342402,4024,0,-2.3415134,0.19094881,-9.475677,3953,0
104249741,0.002976202,-0.005557334,0.1579009,4558,0,-2.3151953,0.14577107,-9.488619,4024,0
104253617,0.007337877,-0.004095732,0.16273679,3876,0,-2.37488,0.14260939,-9.515282,4558,0
104257288,0.015911603,-0.0015812564,0.16090664,3671,0,-2.3257194,0.14357664,-9.419377,3876,0
104261277,0.011284617,0.001420765,0.1538143,3989,0,-2.3247018,0.2056598,-9.429997,3671,0
104265210,0.010420533,0.002526708,0.14798838,3933,0,-2.3715904,0.20904164,-9.575391,3989,0
104269241,0.014760992,0.0049430346,0.14857447,4031,0,-2.3862395,0.20899552,-9.661469,3933,0
104273289,0.016220087,-0.00018748245,0.15335165,4048,0,-2.3902788,0.2221146,-9.544055,4031,0
104277222,0.02333981,0.0012223794,0.16166617,3933,0,-2.389501,0.2303962,-9.418649,4048,0
104281084,0.027982615,0.005473389,0.15687203,3862,0,-2.3782454,0.24537401,-9.422625,3933,0
104285117,0.029714687,0.0033430709,0.1566456,4033,0,-2.354011,0.24868526,-9.482063,3862,0
104289053,0.033504568,-6.8868074e-05,0.16041033,3936,0,-2.3896701,0.21738435,-9.490552,4033,0
104293229,0.036162265,0.0026757636,0.15265378,4176,0,-2.3910203,0.22947772,-9.561184,3936,0
104297030,0.043453492,0.0057677007,0.14886034,3801,0,-2.3355591,0.23852645,-9.697084,4176,0
104301064,0.046413098,0.004765406,0.15433697,4034,0,-2.3506308,0.24586877,-9.63612,3801,0
104305164,0.043152094,0.0021076535,0.15621875,4100,0,-2.3458068,0.27722514,-9.5713825,4034,0
104309171,0.042695742,-9.810865e-05,0.1532313,4007,0,-2.266478,0.22701377,-9.580978,4100,0
104313205,0.045756757,0.00025082447,0.15952295,4034,0,-2.3145237,0.18269928,-9.607273,4007,0
104317125,0.053374022,0.002190196,0.16006903,3920,0,-2.3917153,0.15398473,-9.625484,4034,0
104321039,0.054528847,0.006111002,0.15592135,3914,0,-2.3605618,0.18415491,-9.670309,3920,0
104325177,0.05025825,0.0030605944,0.15232114,4138,0,-2.3351336,0.26261717,-9.545352,3914,0
104328963,0.054602087,0.00043550716,0.1551428,3786,0,-2.37292,0.28363946,-9.362831,4138,0
104333971,0.04867058,0.004491959,0.15539764,5008,0,-2.341493,0.24180439,-9.321674,3786,0
104337895,0.04391519,0.0035506093,0.15385373,3924,0,-2.2841043,0.21659169,-9.500751,5008,0
104341956,0.043969337,0.00054609956,0.15860577,4061,0,-2.2760596,0.19836862,-9.596367,3924,0
104345928,0.04626436,0.010894069,0.15844555,3972,0,-2.2659216,0.22659925,-9.531525,4061,0
104349914,0.051662613,0.015600283,0.15978208,3986,0,-2.314829,0.25577024,-9.606248,3972,0
104354009,0.045492336,0.01354712,0.15967181,4095,0,-2.360423,0.27389872,-9.514469,3986,0
104357838,0.040927533,0.019794613,0.1536654,3829,0,-2.2965534,0.28399923,-9.487044,4095,0
104361848,0.048172746,0.025714759,0.15664235,4010,0,-2.2385504,0.24293527,-9.501093,3829,0
104365942,0.051997315,0.02174371,0.15600163,4094,0,-2.314512,0.22275348,-9.421606,4010,0
104369989,0.049093954,0.020198058,0.15455097,4047,0,-2.3551657,0.2106184,-9.53281,4094,0
104374060,0.04713693,0.025978042,0.16254465,4071,0,-2.2800756,0.17134917,-9.542039,4047,0
104377869,0.047994908,0.023061942,0.15472978,3809,0,-2.277017,0.2144954,-9.495968,4071,0
